date_key,full_date,day_of_week,day_name,month,month_name,quarter,year,fiscal_period,fiscal_year,is_weekend,is_holiday
20230101,2023-01-01,7,Sunday,1,January,1,2023,FY2023-P01,2023,True,N
20230102,2023-01-02,1,Monday,1,January,1,2023,FY2023-P01,2023,False,N
20230103,2023-01-03,2,Tuesday,1,January,1,2023,FY2023-P01,2023,False,N
20230104,2023-01-04,3,Wednesday,1,January,1,2023,FY2023-P01,2023,False,N
20230105,2023-01-05,4,Thursday,1,January,1,2023,FY2023-P01,2023,False,N
20230106,2023-01-06,5,Friday,1,January,1,2023,FY2023-P01,2023,False,N
20230107,2023-01-07,6,Saturday,1,January,1,2023,FY2023-P01,2023,True,N
20230108,2023-01-08,7,Sunday,1,January,1,2023,FY2023-P01,2023,True,N
20230109,2023-01-09,1,Monday,1,January,1,2023,FY2023-P01,2023,False,N
20230110,2023-01-10,2,Tuesday,1,January,1,2023,FY2023-P01,2023,False,N
20230111,2023-01-11,3,Wednesday,1,January,1,2023,FY2023-P01,2023,False,N
20230112,2023-01-12,4,Thursday,1,January,1,2023,FY2023-P01,2023,False,N
20230113,2023-01-13,5,Friday,1,January,1,2023,FY2023-P01,2023,False,N
20230114,2023-01-14,6,Saturday,1,January,1,2023,FY2023-P01,2023,True,N
20230115,2023-01-15,7,Sunday,1,January,1,2023,FY2023-P01,2023,True,N
20230116,2023-01-16,1,Monday,1,January,1,2023,FY2023-P01,2023,False,N
20230117,2023-01-17,2,Tuesday,1,January,1,2023,FY2023-P01,2023,False,N
20230118,2023-01-18,3,Wednesday,1,January,1,2023,FY2023-P01,2023,False,N
20230119,2023-01-19,4,Thursday,1,January,1,2023,FY2023-P01,2023,False,N
20230120,2023-01-20,5,Friday,1,January,1,2023,FY2023-P01,2023,False,N
20230121,2023-01-21,6,Saturday,1,January,1,2023,FY2023-P01,2023,True,N
20230122,2023-01-22,7,Sunday,1,January,1,2023,FY2023-P01,2023,True,N
20230123,2023-01-23,1,Monday,1,January,1,2023,FY2023-P01,2023,False,N
20230124,2023-01-24,2,Tuesday,1,January,1,2023,FY2023-P01,2023,False,N
20230125,2023-01-25,3,Wednesday,1,January,1,2023,FY2023-P01,2023,False,N
20230126,2023-01-26,4,Thursday,1,January,1,2023,FY2023-P01,2023,False,N
20230127,2023-01-27,5,Friday,1,January,1,2023,FY2023-P01,2023,False,N
20230128,2023-01-28,6,Saturday,1,January,1,2023,FY2023-P01,2023,True,N
20230129,2023-01-29,7,Sunday,1,January,1,2023,FY2023-P01,2023,True,N
20230130,2023-01-30,1,Monday,1,January,1,2023,FY2023-P01,2023,False,N
20230131,2023-01-31,2,Tuesday,1,January,1,2023,FY2023-P01,2023,False,N
20230201,2023-02-01,3,Wednesday,2,February,1,2023,FY2023-P02,2023,False,N
20230202,2023-02-02,4,Thursday,2,February,1,2023,FY2023-P02,2023,False,N
20230203,2023-02-03,5,Friday,2,February,1,2023,FY2023-P02,2023,False,N
20230204,2023-02-04,6,Saturday,2,February,1,2023,FY2023-P02,2023,True,N
20230205,2023-02-05,7,Sunday,2,February,1,2023,FY2023-P02,2023,True,N
20230206,2023-02-06,1,Monday,2,February,1,2023,FY2023-P02,2023,False,N
20230207,2023-02-07,2,Tuesday,2,February,1,2023,FY2023-P02,2023,False,N
20230208,2023-02-08,3,Wednesday,2,February,1,2023,FY2023-P02,2023,False,N
20230209,2023-02-09,4,Thursday,2,February,1,2023,FY2023-P02,2023,False,N
20230210,2023-02-10,5,Friday,2,February,1,2023,FY2023-P02,2023,False,N
20230211,2023-02-11,6,Saturday,2,February,1,2023,FY2023-P02,2023,True,N
20230212,2023-02-12,7,Sunday,2,February,1,2023,FY2023-P02,2023,True,N
20230213,2023-02-13,1,Monday,2,February,1,2023,FY2023-P02,2023,False,N
20230214,2023-02-14,2,Tuesday,2,February,1,2023,FY2023-P02,2023,False,N
20230215,2023-02-15,3,Wednesday,2,February,1,2023,FY2023-P02,2023,False,N
20230216,2023-02-16,4,Thursday,2,February,1,2023,FY2023-P02,2023,False,N
20230217,2023-02-17,5,Friday,2,February,1,2023,FY2023-P02,2023,False,N
20230218,2023-02-18,6,Saturday,2,February,1,2023,FY2023-P02,2023,True,N
20230219,2023-02-19,7,Sunday,2,February,1,2023,FY2023-P02,2023,True,N
20230220,2023-02-20,1,Monday,2,February,1,2023,FY2023-P02,2023,False,N
20230221,2023-02-21,2,Tuesday,2,February,1,2023,FY2023-P02,2023,False,N
20230222,2023-02-22,3,Wednesday,2,February,1,2023,FY2023-P02,2023,False,N
20230223,2023-02-23,4,Thursday,2,February,1,2023,FY2023-P02,2023,False,N
20230224,2023-02-24,5,Friday,2,February,1,2023,FY2023-P02,2023,False,N
20230225,2023-02-25,6,Saturday,2,February,1,2023,FY2023-P02,2023,True,N
20230226,2023-02-26,7,Sunday,2,February,1,2023,FY2023-P02,2023,True,N
20230227,2023-02-27,1,Monday,2,February,1,2023,FY2023-P02,2023,False,N
20230228,2023-02-28,2,Tuesday,2,February,1,2023,FY2023-P02,2023,False,N
20230301,2023-03-01,3,Wednesday,3,March,1,2023,FY2023-P03,2023,False,N
20230302,2023-03-02,4,Thursday,3,March,1,2023,FY2023-P03,2023,False,N
20230303,2023-03-03,5,Friday,3,March,1,2023,FY2023-P03,2023,False,N
20230304,2023-03-04,6,Saturday,3,March,1,2023,FY2023-P03,2023,True,N
20230305,2023-03-05,7,Sunday,3,March,1,2023,FY2023-P03,2023,True,N
20230306,2023-03-06,1,Monday,3,March,1,2023,FY2023-P03,2023,False,N
20230307,2023-03-07,2,Tuesday,3,March,1,2023,FY2023-P03,2023,False,N
20230308,2023-03-08,3,Wednesday,3,March,1,2023,FY2023-P03,2023,False,N
20230309,2023-03-09,4,Thursday,3,March,1,2023,FY2023-P03,2023,False,N
20230310,2023-03-10,5,Friday,3,March,1,2023,FY2023-P03,2023,False,N
20230311,2023-03-11,6,Saturday,3,March,1,2023,FY2023-P03,2023,True,N
20230312,2023-03-12,7,Sunday,3,March,1,2023,FY2023-P03,2023,True,N
20230313,2023-03-13,1,Monday,3,March,1,2023,FY2023-P03,2023,False,N
20230314,2023-03-14,2,Tuesday,3,March,1,2023,FY2023-P03,2023,False,N
20230315,2023-03-15,3,Wednesday,3,March,1,2023,FY2023-P03,2023,False,N
20230316,2023-03-16,4,Thursday,3,March,1,2023,FY2023-P03,2023,False,N
20230317,2023-03-17,5,Friday,3,March,1,2023,FY2023-P03,2023,False,N
20230318,2023-03-18,6,Saturday,3,March,1,2023,FY2023-P03,2023,True,N
20230319,2023-03-19,7,Sunday,3,March,1,2023,FY2023-P03,2023,True,N
20230320,2023-03-20,1,Monday,3,March,1,2023,FY2023-P03,2023,False,N
20230321,2023-03-21,2,Tuesday,3,March,1,2023,FY2023-P03,2023,False,N
20230322,2023-03-22,3,Wednesday,3,March,1,2023,FY2023-P03,2023,False,N
20230323,2023-03-23,4,Thursday,3,March,1,2023,FY2023-P03,2023,False,N
20230324,2023-03-24,5,Friday,3,March,1,2023,FY2023-P03,2023,False,N
20230325,2023-03-25,6,Saturday,3,March,1,2023,FY2023-P03,2023,True,N
20230326,2023-03-26,7,Sunday,3,March,1,2023,FY2023-P03,2023,True,N
20230327,2023-03-27,1,Monday,3,March,1,2023,FY2023-P03,2023,False,N
20230328,2023-03-28,2,Tuesday,3,March,1,2023,FY2023-P03,2023,False,N
20230329,2023-03-29,3,Wednesday,3,March,1,2023,FY2023-P03,2023,False,N
20230330,2023-03-30,4,Thursday,3,March,1,2023,FY2023-P03,2023,False,N
20230331,2023-03-31,5,Friday,3,March,1,2023,FY2023-P03,2023,False,N
20230401,2023-04-01,6,Saturday,4,April,2,2023,FY2023-P04,2023,True,N
20230402,2023-04-02,7,Sunday,4,April,2,2023,FY2023-P04,2023,True,N
20230403,2023-04-03,1,Monday,4,April,2,2023,FY2023-P04,2023,False,N
20230404,2023-04-04,2,Tuesday,4,April,2,2023,FY2023-P04,2023,False,N
20230405,2023-04-05,3,Wednesday,4,April,2,2023,FY2023-P04,2023,False,N
